Table_ID,Cell_ID,Cell_Label,Cell_Label_Tier1,Cell_Label_Tier2,Cell_Label_Tier3,Cell_Label_Tier4,Cell_Label_Tier5,Cell_Label_Short_Tier1,Cell_Label_Short_Tier2,Cell_Label_Short_Tier3,Cell_Label_Short_Tier4,Cell_Label_Short_Tier5,EW_Count,n_Interior_Cells
ts001,ts0010001,Total: All usual residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59597542,2
ts001,ts0010002,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,Lives in a household,58555851,2
ts001,ts0010003,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,Lives in a communal establishment,1041691,2
ts002,ts0020001,Total: All usual residents aged 16 years and over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48566373,11
ts002,ts0020002,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,Never married and never registered a civil partnership,18401778,11
ts002,ts0020003,Married or in a registered civil partnership,Married or in a registered civil partnership,NA,NA,NA,NA,Married or in a registered civil partnership,NA,NA,NA,NA,21683101,11
ts002,ts0020004,Married or in a registered civil partnership: Married,NA,Married or in a registered civil partnership: Married,NA,NA,NA,NA,Married,NA,NA,NA,21580492,11
ts002,ts0020005,Married or in a registered civil partnership: Married: Opposite sex,NA,NA,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Opposite sex,NA,NA,Married: Opposite sex,Married: Opposite sex,Married: Opposite sex,21446221,11
ts002,ts0020006,Married or in a registered civil partnership: Married: Same sex,NA,NA,Married or in a registered civil partnership: Married: Same sex,Married or in a registered civil partnership: Married: Same sex,Married or in a registered civil partnership: Married: Same sex,NA,NA,Married: Same sex,Married: Same sex,Married: Same sex,134271,11
ts002,ts0020007,Married or in a registered civil partnership: In a registered civil partnership,NA,Married or in a registered civil partnership: In a registered civil partnership,NA,NA,NA,NA,In a registered civil partnership,NA,NA,NA,102609,11
