Table_ID,Table_Label,Spatial_Coverage,Lowest_Geography,Unit,Measure,Pop_Base,Tiers,Variables,Variable_ID,Variable_Label,Categories,Cells,Interior_Cells,Cell_ID,Cell_Label_ONS_Prefix,Cell_Label_ONS,Cell_Label,EW_Count,EW_Pct,ctry,rgn,utla,ltla,msoa,ward,lsoa,oa
ts001,Number of usual residents in households and communal establishments,England & Wales,oa,Person,Count,All usual residents,1,1,residence_type,Residence type,2,3,2,ts0010001,Residence type,Total; measures: Value,Total: All usual residents,59597542,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts001,Number of usual residents in households and communal establishments,England & Wales,oa,Person,Count,All usual residents,1,1,residence_type,Residence type,2,3,2,ts0010002,Residence type,Lives in a household; measures: Value,Lives in a household,58555851,98.25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts001,Number of usual residents in households and communal establishments,England & Wales,oa,Person,Count,All usual residents,1,1,residence_type,Residence type,2,3,2,ts0010003,Residence type,Lives in a communal establishment; measures: Value,Lives in a communal establishment,1041691,1.75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020001,Marital and civil partnership status,Total; measures: Value,Total: All usual residents aged 16 years and over,48566373,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020002,Marital and civil partnership status,Never married and never registered a civil partnership; measures: Value,Never married and never registered a civil partnership,18401778,37.89,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020003,Marital and civil partnership status,Married or in a registered civil partnership; measures: Value,Married or in a registered civil partnership,21683101,44.65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020004,Marital and civil partnership status,Married or in a registered civil partnership: Married; measures: Value,Married or in a registered civil partnership: Married,21580492,44.44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020005,Marital and civil partnership status,Married or in a registered civil partnership: Married: Opposite sex; measures: Value,Married or in a registered civil partnership: Married: Opposite sex,21446221,44.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020006,Marital and civil partnership status,Married or in a registered civil partnership: Married: Same sex; measures: Value,Married or in a registered civil partnership: Married: Same sex,134271,0.28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020007,Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership; measures: Value,Married or in a registered civil partnership: In a registered civil partnership,102609,0.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
